,Country name,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Log GDP per capita,Explained by: Perceptions of corruption,Explained by: Social support,Score,year,code
42,Trinidad and Tobago,0.48453,0.31935,0.52608,1.32572,0.01241,0.98569,6.167999999999999,2016,TTO
43,Venezuela,0.19847,0.0425,0.6190399999999999,1.1336700000000002,0.08304,1.03302,6.084,2016,VEN
44,Slovakia,0.23390999999999998,0.13837,0.70367,1.27973,0.02947,1.0826799999999999,6.077999999999999,2016,SVK
45,El Salvador,0.37269,0.08877,0.596,0.8737,0.10613,0.80975,6.068,2016,SLV
46,Malaysia,0.39031,0.41473999999999994,0.62366,1.25142,0.09081,0.88025,6.005,2016,MYS
47,Nicaragua,0.46581999999999996,0.29773,0.65213,0.69384,0.16292,0.8952100000000001,5.992000000000001,2016,NIC
48,Uzbekistan,0.60848,0.34326,0.50163,0.7359100000000001,0.28333,1.1681,5.987,2016,UZB
49,Italy,0.18827,0.16684000000000002,0.8510200000000001,1.35495,0.02556,1.04167,5.977,2016,ITA
50,Ecuador,0.4027,0.10074,0.68613,0.97306,0.18037,0.85974,5.976,2016,ECU
51,Belize,0.51231,0.23684000000000002,0.45569,0.87616,0.10770999999999999,0.68655,5.956,2016,BLZ
52,Japan,0.46761,0.10224,0.91491,1.3800700000000001,0.18985,1.06054,5.921,2016,JPN
53,Kazakhstan,0.4052,0.15011,0.57386,1.22943,0.11132,0.95544,5.919,2016,KAZ
54,Moldova,0.25201999999999997,0.19997,0.5230899999999999,0.69177,0.019030000000000002,0.8313200000000001,5.897,2016,MDA
55,Russia,0.32682,0.027360000000000002,0.58991,1.2322799999999998,0.03586,1.05261,5.856,2016,RUS
56,Poland,0.4519,0.14443,0.69058,1.24585,0.055,1.04685,5.835,2016,POL
57,South Korea,0.25168,0.18824000000000002,0.88645,1.35948,0.07716,0.7219399999999999,5.835,2016,KOR
58,Bolivia,0.50961,0.21698,0.4697,0.79422,0.07746,0.8377899999999999,5.822,2016,BOL
59,Lithuania,0.18929,0.02025,0.64674,1.2692,0.0182,1.0641100000000001,5.813,2016,LTU
60,Belarus,0.29091,0.13942000000000002,0.6310399999999999,1.1306200000000002,0.17457,1.04993,5.8020000000000005,2016,BLR
61,North Cyprus,0.43596,0.26322,0.8414200000000001,1.31141,0.16577999999999998,0.81826,5.771,2016,CYP
62,Slovenia,0.53164,0.25738,0.79151,1.2994700000000001,0.03635,1.05613,5.768,2016,SVN
63,Peru,0.37501999999999996,0.14527,0.6299399999999999,0.9960200000000001,0.05292,0.81255,5.742999999999999,2016,PER
64,Turkmenistan,0.37408,0.22566999999999998,0.44006000000000006,1.08017,0.28467,1.03817,5.6579999999999995,2016,TKM
65,Mauritius,0.46145,0.36951,0.66189,1.14372,0.05202999999999999,0.75695,5.648,2016,MUS
66,Libya,0.40671999999999997,0.17087,0.52304,1.0668799999999998,0.10339000000000001,0.95076,5.615,2016,LBY
67,Latvia,0.27996,0.17445,0.63952,1.2178799999999999,0.0889,0.95025,5.56,2016,LVA
68,Cyprus,0.29507,0.27906,0.8488,1.31857,0.05227999999999999,0.70697,5.546,2016,CYP
69,Paraguay,0.46235,0.25296,0.58295,0.8937299999999999,0.07396,1.11111,5.537999999999999,2016,PRY
70,Romania,0.36712,0.12889,0.67602,1.1697,0.006790000000000001,0.7280300000000001,5.528,2016,ROU
71,Estonia,0.41511000000000003,0.08423,0.68098,1.2796399999999999,0.18519000000000002,1.0516299999999998,5.517,2016,EST
72,Jamaica,0.43596999999999997,0.22245,0.5946899999999999,0.89333,0.04294,0.96372,5.51,2016,JAM
73,Croatia,0.23906999999999998,0.18434,0.70524,1.18649,0.04002,0.6080899999999999,5.4879999999999995,2016,HRV
74,Hong Kong,0.48078999999999994,0.40097,0.9527700000000001,1.5107,0.31647,0.87021,5.457999999999999,2016,HKG
75,Somalia,0.5677800000000001,0.27225,0.11465999999999998,1.206075,0.3118,0.33613000000000004,5.44,2016,SOM
76,Kosovo,0.14396,0.27992,0.54,0.90145,0.06547,0.66062,5.401,2016,XKX
77,Turkey,0.23889000000000002,0.04707,0.64718,1.1649200000000002,0.12347999999999999,0.8771700000000001,5.388999999999999,2016,TUR
78,Indonesia,0.39237,0.56521,0.49373999999999996,0.95104,0.00322,0.87625,5.314,2016,IDN
79,Jordan,0.36023,0.14262,0.60712,0.9967299999999999,0.13297,0.86216,5.303,2016,JOR
80,Azerbaijan,0.35327,0.0564,0.54504,1.12373,0.17914000000000002,0.76042,5.291,2016,AZE
81,Philippines,0.5485399999999999,0.21674000000000002,0.47036000000000006,0.81217,0.11757000000000001,0.87877,5.279,2016,PHL
82,China,0.44011999999999996,0.049589999999999995,0.73561,1.0278,0.02745,0.79381,5.245,2016,CHN
83,Bhutan,0.46074,0.48546000000000006,0.49759,0.8527,0.1616,0.9083600000000001,5.196000000000001,2016,BTN
84,Kyrgyzstan,0.40212,0.38432,0.5544899999999999,0.5604399999999999,0.047619999999999996,0.95434,5.185,2016,KGZ
85,Serbia,0.15718,0.20736999999999997,0.6458,1.03437,0.04339,0.81329,5.1770000000000005,2016,SRB
